election_type,year,state,constituency,code,candidate,gender,party,votes,position,elected
house,2019,Delta,BOMADI/PATANI,FC/85/DT,ABRAHAM CHRISTOPHER,M,KP,3,8,0
house,2019,Delta,BOMADI/PATANI,FC/85/DT,ISAAC TOMBRA,M,HDP,0,9,0
house,2019,Delta,BURUTU,FC/91/DT,JULIUS GBABOJOR PONDI,M,PDP,36582,1,1
house,2019,Delta,BURUTU,FC/91/DT,ETONYE KARONA EKIOKEYERIN,M,APC,8472,2,0
house,2019,Delta,BURUTU,FC/91/DT,PEREMENE AMOS ENEBIDOUGHA,M,AGAP,71,3,0
house,2019,Delta,BURUTU,FC/91/DT,OGORU TOSAH,M,SDP,48,4,0
house,2019,Delta,BURUTU,FC/91/DT,CLETUS NINETRY,M,ADC,39,5,0
house,2019,Delta,BURUTU,FC/91/DT,WAREFA E. VICTOR,M,DPP,5,6,0
house,2019,Delta,BURUTU,FC/91/DT,EJI KATE,F,MPN,4,7,0
house,2019,Delta,BURUTU,FC/91/DT,BASIL PREYE,M,HDP,1,8,0
house,2019,Delta,BURUTU,FC/91/DT,EZE ANTHONY ONWUZURUIKE,M,KP,1,9,0
house,2019,Delta,BURUTU,FC/91/DT,EMEKA O ISAAC,M,DA,0,10,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,BEN ROLAND IGBAKPA,M,PDP,34745,1,1
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,JOHN AGODA,M,APC,26374,2,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,TAYIRE EGODO LAWRENCE,M,NCP,170,3,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,EREGARE ROBINSON ONISURU,M,LP,114,4,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,OTOBA OBANOVWE FRED,M,SDP,97,5,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,ANTHONY UCHAKPO,M,DPP,70,6,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,ONOME ROLAND OFOMOLA,M,AAC,57,7,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,EDEWOR FELIX UZOH,M,ADC,42,8,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,BLESSING TEJIRI ONOKURHEFE,F,ACD,17,9,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,JEJEMAHO DICKSON,M,HDP,9,10,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,AKPOVINOVWO EMMANUEL O,M,JMPP,9,11,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,OKONJI JEREMAIAH,M,DA,8,12,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,EYAKWAIRE EMUOBONNUVIE JOHN,M,ASD,7,13,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,ALIZOR NKEM FRANK,M,UPC,6,14,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,AGHURU CHARLES,M,KP,5,15,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,ATANARUNO ABRAHAM,M,PPN,5,16,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,UKURABORE LUCKY AKOMIRE,M,ZLP,5,17,0
house,2019,Delta,ETHIOPE EAST/ETHIOPE WEST,FC/86/DT,ANUYA MONDAY ISIORHOVOJA,M,UDP,2,18,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,VICTOR ONYEMAECHI NWOKOLO,M,PDP,47688,1,1
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,OKOH SEBASTINE EDOKPOLOR,M,APC,12481,2,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,EFELOKWU LOVETH,F,ADC,62,3,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,FAVOUR ELUEME,M,ANP,48,4,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,OWAH NICHOLAS ARUMOKA,M,DPP,45,5,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,CHIEDU IDUWE STANLEY,M,MPN,18,6,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,AGBOMA GRACE NWANEFURU,F,PPN,17,7,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,CHIBOGWU JOHN A,M,SDP,15,8,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,OGORDIUNOR HENRY IFEANYI,M,LP,13,9,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,HEARTREST OPONE,M,HDP,11,10,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,NWAKA HENRY CHUKWURIMAZU,M,JMPP,10,11,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,OKAFOR JULIET,F,DA,6,12,0
house,2019,Delta,IKA EAST/IKA SOUTH,FC/87/DT,AFUBERA MABEL UJUNWA,F,KP,5,13,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,OGOR LEONARD OKUWEH,M,PDP,34000,1,1
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,JOEL-ONOWAKPO THOMAS E.,M,APC,23553,2,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,EDAFE UNUEZI ODUH,M,ADP,534,3,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,REGINA EMEVWRENIOKE,F,PPA,217,4,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,BARTHELOMEW URUDE OGHENERENAZE,M,ANP,71,5,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,OKAKOR AUSTINE OGHOGHO,M,SDP,68,6,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,AKPEWE FRED,M,ADC,15,7,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,AWHOTU DESMOND AJIRIOGHENE,M,PPN,12,8,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,ANDREW NWANZE OZOMA,M,DPP,7,9,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,OTUWHO ENIFOME SOLOMON,M,KP,6,10,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,TOBOR EFE,M,MPN,4,11,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,OMINIGBO OGHOME,F,BNPP,3,12,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,EJUMEDIA PRECIOUS SUNDAY,M,HDP,3,13,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,EREZI TOME CHRISTOPHER,M,JMPP,1,14,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,GODSPOWER EREREMENA PROF,F,ZLP,1,15,0
house,2019,Delta,ISOKO NORTH/ISOKO SOUTH,FC/88/DT,OPUTA FAVOUR OKWUDILI,M,DA,0,16,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OSSAI NICHOLAS OSSAI,M,PDP,52934,1,1
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,ODILI PAUL,M,APC,8690,2,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,JERICHO UDOMA ONYEKA,M,ADC,2713,3,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,JIMOH PATIENCE KOKUMO,F,DPP,107,4,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,ONYIDU GEORGE OGHENEMARO,M,SDP,77,5,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,AGBIDI AZUKA,M,NRM,37,6,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OBI PEDRO O,M,ACPN,25,7,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OGBUKAH IFEYINWA OBIAGELI VANESSA,F,A,22,8,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,UZOR HARRY IFEANYICHUKWU,M,LP,22,9,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OPONE HEARTREST,F,HDP,17,10,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OGECHI EDEM,F,MPN,12,11,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,NDIDI CHUKWUDI ANDREW,M,KP,10,12,0
house,2019,Delta,NDOKWA EAST/NDOKWA WEST/UKWUANI,FC/89/DT,OTOBO HENRY,M,DA,7,13,0
house,2019,Delta,OKPE/SAPELE/UVWIE,FC/90/DT,OBERUAKPEFE ANTHONY AFE,M,PDP,36815,1,1
house,2019,Delta,OKPE/SAPELE/UVWIE,FC/90/DT,IGBUYA MONDAY OVWIGHO,M,APC,26966,2,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,WAIVE EJIROGHENE FRANCIS,M,APC,41385,1,1
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,SAMUEL OGHENEVWOGAGA MARIERE,M,PDP,35126,2,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,AHWINAHWI SOLOMON,M,SDP,11098,3,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,UMUKOTETE GLORIA OGHENEBIOBORUE,F,PPA,132,4,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,USEH OTUMEMINE EMMANUEL,M,PDC,99,5,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,NUWHELE THANKGOD JESUMEVWAROSO,M,LP,98,6,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,BULUKU KELLY OMAVNAYE,M,DPP,73,7,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,OMONIGHO MONICA ABU G.,F,ADC,70,8,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,EDOYISE FELIX \ AFORKE,M,SNP,53,9,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,OTOMO URHOLE JONAH,M,ANP,44,10,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,TOKA WILLIAMS SARAH,F,APDA,20,11,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,OYIBO OSIRERINIX AWO,F,ABP,6,12,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,UDOMA DUKE ENAHORO ISRAEL,M,PPN,6,13,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,RHIAKPORE KESIENA OSIETA,M,KP,3,14,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,EJECHI MARVIN,M,DA,0,15,0
house,2019,Delta,UGHELLI NORTH/UGHELLI SOUTH/UDU,FC/92/DT,EJOYWOKE JULIE U,F,MPN,0,16,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,THOMAS EREYITOMI,M,PDP,152874,1,1
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,DANIEL REYENIEJU ORITSEGBUBEMI,M,SDP,25032,2,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,EYENGHO ALEX ORITSEGBEYIWA,M,APC,18437,3,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,ATSEPOYI FREEDOM,M,AAC,749,4,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,ETSOLE JULIANA ORITSE,F,ADC,509,5,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,NUNU PATIENCE OTUEDON,F,PDC,329,6,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,CHALELE FRIDAY O,M,PPN,51,7,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,JOLOMI ODONMETA,M,DPP,15,8,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,ODOBIKEN GIFT PRINCESS,F,CAP,13,9,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,ANENGIMO JONAH,M,DA,12,10,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,ROSELINE SHOLA,F,HDP,3,11,0
house,2019,Delta,WARRI NORTH/WARRI SOUTH/WARRI SOUTHWEST,FC/93/DT,TOM ABILLY GERALD,M,UPC,0,12,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,OGBAGA SYLVESTER .O.,M,PDP,40890,1,1
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,NSHII UCHENNA MBAM,M,APC,21541,2,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,OKECHUKWU AGUIGWE PAUL,M,SDP,71,3,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,BENJAMIN UFOKE,M,PDM,61,4,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,UMOKE FIDELIS MBAU,M,LP,50,5,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,NKWUDA JONAH OBINNA,M,ADC,44,6,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,OKARA CHIZOBA KENIAH,F,DA,26,7,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,UGURU SUNDAY PRINCE,M,ZLP,25,8,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,ELOM CHRISTIAN ALENE,M,JMPP,18,9,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,NWOSHIBE ABRAHAM .U.,M,AD,15,10,0
house,2019,Ebonyi,ABAKALIKI/IZZI,FC/095/EB,JEROME M. NWALEGU,M,PPN,10,11,0
house,2019,Ebonyi,AFIKPO NORTH/AFIKPO SOUTH,FC/099/EB,ANTHONY OGBONNA EKOH,M,APC,9951,1,1
house,2019,Ebonyi,AFIKPO NORTH/AFIKPO SOUTH,FC/099/EB,NWACHI MARIA UDE,F,ANN,8484,2,0
house,2019,Ebonyi,AFIKPO NORTH/AFIKPO SOUTH,FC/099/EB,UCHE OLUGHU FELIX,M,APGA,186,3,0
house,2019,Ebonyi,AFIKPO NORTH/AFIKPO SOUTH,FC/099/EB,OTU EZE KINGSLEY,M,ACD,35,4,0
house,2019,Ebonyi,AFIKPO NORTH/AFIKPO SOUTH,FC/099/EB,KANU GODWIN THOMAS,M,DA,22,5,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,NWAZUNKU CHUKWUMA ALUGBALA,M,PDP,39638,1,1
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,PETER OGE ALI,M,APC,18213,2,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,ONWE ONWE UCHENNA,M,SDP,422,3,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,IZUCHUKWU JOSHUA,M,JMPP,32,4,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,NWABUEZE AWA STEPHEN,M,PPN,23,5,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,OGWOGU CELESTINE,M,DA,16,6,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,EKUMHE GEORGE C.,M,CAP,14,7,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,IKPOJI OKORIE JAMES,M,UPP,14,8,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,NWANKWO IKECHUKWU A,M,LP,13,9,0
house,2019,Ebonyi,EBONYI/OHAUKWU,FC/094/EB,NWOKPURU ABAFU SUNDAY,M,ZLP,13,10,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,ANAYO EDWIN NWONII,M,PDP,34373,1,1
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,MICHEAL .H. IFERE,M,APC,13372,2,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,OGBONNAYA PETER OKEY,M,SDP,978,3,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,CHIKEZIE IGWE PAUL,M,ADC,96,4,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,FRIDAY OKOLIA ERNEST,M,PPN,42,5,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,NWORIE JACOB,M,LP,28,6,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,UGBALA SUNDAY NATHY,M,JMPP,17,7,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,OPIA JOY,F,DA,14,8,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,OSMOND C. NWORIE,M,UPP,14,9,0
house,2019,Ebonyi,EZZA NORTH/ISHIELU,FC/096/EB,OGBA CATHERINE,F,ZLP,6,10,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,OGBE LAZARUS NWERU,M,PDP,31296,1,1
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,CHINEDU OGAR NWEKE,M,APC,27695,2,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,OGENE AZUBUIKE OYIBE,M,ADC,58,3,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,ULEBE KENNETH,M,ACD,49,4,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,AGU GINIKACHI N,F,PPN,35,5,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,ABANUM BEAUTY IFEOMA,F,DA,23,6,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,OKECHUKWU G. UGBALA,M,SDF,22,7,0
house,2019,Ebonyi,EZZA SOUTH/IKWO,FC/094/EB,OKEFI AUGUSTINE C,M,JMPP,17,8,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,LIVINUS MAKWE,M,PDP,68136,1,1
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,ODII FESTUS IFESINACHI,M,APC,10178,2,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,CHUKU NKATA NWANI,M,ANN,2748,3,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,CHUKWU FRANCIS ENYI,M,APP,1435,4,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,AKABUOGU THERESA NGOZI,F,PPA,95,5,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,UZOMA BAICA EZE,F,SDP,76,6,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,OBAJI CHRISTIAN EZE,M,JMPP,54,7,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,NWEZE PRINCE AWO,M,AAP,48,8,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,OKODIE IGBOKE LINUS,M,LP,46,9,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,FRANCIS OKEREKE OKORO,F,DA,35,10,0
house,2019,Ebonyi,IVO-OHAOZARA/ONICH,FC/098/EB,OSITA THEOPHILUS CHINEDU,M,PPN,28,11,0
house,2019,Edo,AKOKO EDO,FC/100/ED,AKPATASON O. PETER,M,APC,27126,1,1
house,2019,Edo,AKOKO EDO,FC/100/ED,BANKOLE B. OLADELE,M,PDP,16405,2,0
house,2019,Edo,AKOKO EDO,FC/100/ED,JOSHUA F. FELIX,F,LP,148,3,0
house,2019,Edo,AKOKO EDO,FC/100/ED,AMUNE M. OSAVESHI,M,AAC,117,4,0
house,2019,Edo,AKOKO EDO,FC/100/ED,PETER O. REMILEKUN,M,ADC,28,5,0
house,2019,Edo,AKOKO EDO,FC/100/ED,SEGUN UKONGA,M,DA,0,6,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,FATOBA OLUSOLA STEVE,M,APC,55483,1,1
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,OLADIMEJI AYODELE,M,PDP,27836,2,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,OGUNJOBI GANI ADEKUNLE,M,ADC,354,3,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,IYANIWUPA IFEDAYO TOPE,M,NDLP,57,4,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,ADEYINKA ADEGBOYE,M,LP,44,5,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,MICHAEL AANU OLUWATOBA,M,MPN,31,6,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,AYODELE ADEBAYO,M,PPN,31,7,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,OLABODE JOHN WESLEY,M,YDP,22,8,0
house,2019,Ekiti,ADO EKITI/IREPODUN/IFELODUN,FC/109/EK,ADODO OLAYINKA,F,PT,10,9,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,ADARAMODU ADEYEMI RAPHAEL,M,APC,41864,1,1
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,ADEKOLA SEGUN ALEXANDER,M,PDP,25707,2,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,ABIODUN ADETIMEHIN,M,ADC,423,3,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,IYIOLA OLUWAMUYIWA,M,NAC,38,4,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,OWOEYE FRANCIS,M,PPN,31,5,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,AJALA PAUL TOLULOPE,M,LP,11,6,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,ADEWALE OLUWOLE KAYODE,M,JMPP,7,7,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,OGUNTUASE YUSUF O.,M,MPN,6,8,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,AJIBARE EMMANUEL TOSIN,M,ID,4,9,0
house,2019,Ekiti,EKITI SOUTH WEST/IKERE/ISE ORUN,FC/110/EK,ADEBAYO JOHNSON,M,PT,4,10,0
house,2019,Ekiti,EMURE/GBONYIN/EKITI EAST,FC/111/EK,BAMISILE OLUFEMI RICHARD,M,APC,37271,1,1
house,2019,Ekiti,EMURE/GBONYIN/EKITI EAST,FC/111/EK,AWODUMILA JULIUS AKINYEDE,M,PDP,26101,2,0
house,2019,Ekiti,EMURE/GBONYIN/EKITI EAST,FC/111/EK,OWOSENI OLANIRAN,M,ADC,132,3,0
house,2019,Ekiti,EMURE/GBONYIN/EKITI EAST,FC/111/EK,OLOWOMEYE DELE ZACCHEAUS,M,PPN,27,4,0
house,2019,Ekiti,EMURE/GBONYIN/EKITI EAST,FC/111/EK,AKANNI FELIX,M,MPN,12,5,0
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,OLANREWAJU IBRAHIM KUNLE,M,APC,29388,1,1
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,OMOTOSO NICHOLAS OLUSOLA,M,PDP,23684,2,0
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,LAWAL OLUBUNMI OLUFUNMILAYO,F,ADC,92,3,0
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,AKINLOYE AYODELE MARY,F,ASD,25,4,0
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,ADERIBIGBE BIODUN MODUPE,F,PPN,16,5,0
house,2019,Ekiti,"IDO/OSI, MOBA/ILEJEME",FC/112/EK,FAMOROTI ADEFEMI,M,YDP,5,6,0
house,2019,Ekiti,IJERO/EKITI WEST/EFON,FC/113/EK,OGUNLOLA OMOWUMI OLUBUNMI,F,APC,38372,1,1
house,2019,Ekiti,IJERO/EKITI WEST/EFON,FC/113/EK,KOLAWOLE BISI,M,PDP,21227,2,0
house,2019,Ekiti,IJERO/EKITI WEST/EFON,FC/113/EK,OSUNTOKUN KIKELOMO ENIOLA,F,ADC,188,3,0
house,2019,Ekiti,IJERO/EKITI WEST/EFON,FC/113/EK,OLORUNGBON AKINYELE LAWRENCE,M,PPN,21,4,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,OWOLABI PETER,M,APC,31532,1,1
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,AGBOOLA EMMANUEL KEHINDE,M,PDP,25366,2,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,OKE JOHNSON ILESANMI,M,ADC,773,3,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,OLATUNDE ANTHONY OLAYEMI,M,DPP,116,4,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,AWE SAMUEL OLUSOLA,M,PPN,25,5,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,OGUNSEYIN OLALEYE MICHAELS,M,YDP,14,6,0
house,2019,Ekiti,IKOLE/OYE,FC/114/EK,BABALOLA OLUMUYIWA-ASCHOR,M,KP,5,7,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,OKECHUKWU TOBY,M,PDP,50173,1,1
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,ILO VINMARTIN OBIORA,M,APC,8354,2,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,ILOABANAFOR JOSEPH O.,M,APGA,3854,3,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,ROBISON EMEKA EKENE,M,UPP,162,4,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,OKOLO OBINNA,M,PPN,66,5,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,NNUKWUAGU MATHIAS S.,M,ADC,43,6,0
house,2019,Enugu,ANINRI/AWGU/OJI RIVER,FC/115/EN,NWANZE LINUS,M,ACPN,26,7,0
