ID_0,Country,ID_1,State,ID_2,LGA,ID_3,Ward,Latitude,Longitude
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,3,Isiala Nsulu,5.353552171,7.430983214
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,5,Ngwa Ukwu II,5.367389527,7.344123453
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,4,Ngwa Ukwu I,5.392243473,7.368677464
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,8,Amapu Ntigha,5.412742709,7.415994547
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,10,Mbawsi / Umuomainta,5.387285884,7.425956291
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,7,Amasaa Ntigha,5.426186131,7.368623429
164,Nigeria,2016,Abia,23320,Isiala Ngwa North,6,Ihie,5.410189802,7.343344629
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,3,Mbutu Ukwu,5.308433803,7.310943752
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,1,Amaise / Amaise Anaba,5.254292746,7.293023845
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,2,Ngwaobi,5.27639227,7.32541735
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,4,Mbutu Ngwa,5.304828112,7.353105567
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,8,Ovungwu,5.232383416,7.438359054
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,10,Okporo Ahaba,5.225751191,7.381900205
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,9,Ovuokwu,5.272581255,7.394194656
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,7,Omoba,5.241071752,7.412965854
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,5,Ehina Guru Osokwa,5.29714478,7.44710834
164,Nigeria,2016,Abia,23321,Isiala Ngwa South,6,Akunekpu Eziama Na Obuba,5.324319655,7.448683042
164,Nigeria,2016,Abia,23322,Isuikwuato,1,Imenyi,5.689394101,7.519016109
164,Nigeria,2016,Abia,23322,Isuikwuato,2,Ezere,5.734439742,7.522661329
164,Nigeria,2016,Abia,23322,Isuikwuato,3,Isiala Amawu,5.732556825,7.490135104
164,Nigeria,2016,Abia,23322,Isuikwuato,4,Isu Amawu,5.703665309,7.450817139
164,Nigeria,2016,Abia,23322,Isuikwuato,5,Ogunduasa,5.738507709,7.429172287
164,Nigeria,2016,Abia,23322,Isuikwuato,6,Umunnekwu,5.787100947,7.462699743
164,Nigeria,2016,Abia,23322,Isuikwuato,7,Achara / Mgbugwu,5.851628493,7.411687046
164,Nigeria,2016,Abia,23322,Isuikwuato,8,Ikeagha I,5.831399916,7.491664881
164,Nigeria,2016,Abia,23322,Isuikwuato,10,Umuanyi / Absu,5.820023791,7.407182095
164,Nigeria,2016,Abia,23322,Isuikwuato,9,Ikeagha II,5.81691452,7.441273989
164,Nigeria,2016,Abia,23323,Oboma Ngwa,3,Mgboko Umuanunu,5.25086448,7.507639036
164,Nigeria,2016,Abia,23323,Oboma Ngwa,4,Mgboko Itungwa,5.194555432,7.4802835
164,Nigeria,2016,Abia,23323,Oboma Ngwa,6,Maboko Amairi,5.177999039,7.411602458
164,Nigeria,2016,Abia,23323,Oboma Ngwa,5,Ahiaba,5.149773959,7.39222078
164,Nigeria,2016,Abia,23323,Oboma Ngwa,2,Abayi  II,5.115400103,7.408271109
164,Nigeria,2016,Abia,23323,Oboma Ngwa,8,Akumaimo,5.050038189,7.415196774
164,Nigeria,2016,Abia,23323,Oboma Ngwa,1,Abayi  I,5.126699106,7.433301692
164,Nigeria,2016,Abia,23323,Oboma Ngwa,10,Ntighauzo Amairi,5.063771531,7.467620274
164,Nigeria,2016,Abia,23323,Oboma Ngwa,11,Ibeme,5.061515747,7.504590355
164,Nigeria,2016,Abia,23323,Oboma Ngwa,9,Ndiarata / Amairinabua,5.13361495,7.504386504
164,Nigeria,2016,Abia,23323,Oboma Ngwa,7,Alaukwu Ohanze,5.132509444,7.466651703
164,Nigeria,2016,Abia,23324,Ohafia,1,Isiama Ohafia,5.662264813,7.791682592
164,Nigeria,2016,Abia,23324,Ohafia,2,Ebem Ohafia,5.597910187,7.793218629
