state,lga,party,votes
Adamawa,Demsa,PDP,22037
Adamawa,Demsa,APC,10342
Adamawa,Fufore,APC,21972
Adamawa,Fufore,PDP,17529
Adamawa,Ganye,APC,19151
Adamawa,Ganye,PDP,17993
Adamawa,Girei,APC,15171
Adamawa,Girei,PDP,6938
Adamawa,Gombi,PDP,12968
Adamawa,Gombi,APC,9347
Adamawa,Guyuk,PDP,19022
Adamawa,Guyuk,APC,12504
Adamawa,Hong,PDP,26556
Adamawa,Hong,APC,21407
Adamawa,Jada,PDP,20076
Adamawa,Jada,APC,18006
Adamawa,Lamurde,PDP,20138
Adamawa,Lamurde,APC,10182
Adamawa,Madagali,PDP,17660
Adamawa,Madagali,APC,9365
Adamawa,Maiha,APC,14939
Adamawa,Maiha,PDP,8745
Adamawa,Mayo Belwa,PDP,19897
Adamawa,Mayo Belwa,APC,14198
Adamawa,Michika,PDP,25617
Adamawa,Michika,APC,13511
Adamawa,Mubi North,APC,31805
Adamawa,Mubi North,PDP,17567
Adamawa,Mubi South,APC,19825
Adamawa,Mubi South,PDP,10420
Adamawa,Numan,PDP,21922
Adamawa,Numan,APC,11642
Adamawa,Shelleng,APC,15944
Adamawa,Shelleng,PDP,11377
Adamawa,Song,PDP,25151
Adamawa,Song,APC,17845
Adamawa,Toungo,APC,6564
Adamawa,Toungo,PDP,6018
Adamawa,Yola North,PDP,24383
Adamawa,Yola North,APC,20979
Adamawa,Yola South,APC,22129
Adamawa,Yola South,PDP,18257
Akwa Ibom,Abak,PDP,17461
Akwa Ibom,Abak,APC,11505
Akwa Ibom,Eastern Obolo,PDP,10780
Akwa Ibom,Eastern Obolo,APC,1914
Akwa Ibom,Eket,PDP,26372
Akwa Ibom,Eket,APC,5087
Akwa Ibom,Esit Eket,PDP,13406
Akwa Ibom,Esit Eket,APC,3917
Akwa Ibom,Essien Udim,APC,6938
Akwa Ibom,Essien Udim,PDP,2161
Akwa Ibom,Etim Ekpo,PDP,10149
Akwa Ibom,Etim Ekpo,APC,2776
Akwa Ibom,Etinan,PDP,22954
Akwa Ibom,Etinan,APC,8089
Akwa Ibom,Ibeno,PDP,10008
Akwa Ibom,Ibeno,APC,1442
Akwa Ibom,Ibesikpo Asutan,PDP,15679
Akwa Ibom,Ibesikpo Asutan,APC,11216
Akwa Ibom,Ibiono-Ibom,PDP,36988
Akwa Ibom,Ibiono-Ibom,APC,7280
Akwa Ibom,Ika,PDP,12752
Akwa Ibom,Ika,APC,3212
Akwa Ibom,Ikono,PDP,18910
Akwa Ibom,Ikono,APC,4498
Akwa Ibom,Ikot Ekpene,PDP,14832
Akwa Ibom,Ikot Ekpene,APC,11240
Akwa Ibom,Ikot-Abasi,PDP,9335
Akwa Ibom,Ikot-Abasi,APC,7549
Akwa Ibom,Ini,PDP,17335
Akwa Ibom,Ini,APC,3316
Akwa Ibom,Itu,PDP,14633
Akwa Ibom,Itu,APC,5911
Akwa Ibom,Mbo,PDP,9631
Akwa Ibom,Mbo,APC,5419
Akwa Ibom,Mkpat-Enin,PDP,18056
Akwa Ibom,Mkpat-Enin,APC,4769
Akwa Ibom,Nsit-Atai,PDP,8855
Akwa Ibom,Nsit-Atai,APC,3783
Akwa Ibom,Nsit-Ibom,PDP,17326
Akwa Ibom,Nsit-Ibom,APC,4816
Akwa Ibom,Nsit-Ubium,PDP,17863
Akwa Ibom,Nsit-Ubium,APC,6004
Akwa Ibom,Obot-Akara,PDP,13979
Akwa Ibom,Obot-Akara,APC,4704
Akwa Ibom,Okobo,PDP,10800
Akwa Ibom,Okobo,APC,6079
Akwa Ibom,Onna,PDP,32103
Akwa Ibom,Onna,APC,2110
Akwa Ibom,Oron,PDP,8433
Akwa Ibom,Oron,APC,3859
Akwa Ibom,Oruk Anam,PDP,35093
Akwa Ibom,Oruk Anam,APC,8640
Akwa Ibom,Udung-Uko,PDP,4036
Akwa Ibom,Udung-Uko,APC,2108
Akwa Ibom,Ukanafun,PDP,35447
Akwa Ibom,Ukanafun,APC,7220
Akwa Ibom,Uruan,PDP,12895
Akwa Ibom,Uruan,APC,5192
Akwa Ibom,Urue-Offong/Oruko,PDP,6915
Akwa Ibom,Urue-Offong/Oruko,APC,4592
Akwa Ibom,Uyo,PDP,35092
Bayelsa,Brass,APC,23831
Bayelsa,Brass,PDP,10410
Bayelsa,Ekeremor,APC,21489
Bayelsa,Ekeremor,PDP,18344
Bayelsa,Kolokuma/Opokuma,PDP,15360
Bayelsa,Kolokuma/Opokuma,APC,8934
Bayelsa,Nembe,APC,83041
Bayelsa,Nembe,PDP,874
Bayelsa,Ogbia,APC,58016
Bayelsa,Ogbia,PDP,13763
Bayelsa,Sagbama,PDP,60339
Bayelsa,Sagbama,APC,7831
Bayelsa,Southern Ijaw,APC,124803
Bayelsa,Southern Ijaw,PDP,4898
Bayelsa,Yenagoa,APC,24607
Bayelsa,Yenagoa,PDP,19184
Benue,Ado,PDP,10258
Benue,Ado,APC,10135
Benue,Agatu,PDP,10079
Benue,Agatu,APC,7538
Benue,Apa,PDP,8725
Benue,Apa,APC,8636
Benue,Buruku,PDP,29656
Benue,Buruku,APC,13404
Benue,Gboko,PDP,38241
Benue,Gboko,APC,29802
Benue,Guma,PDP,29693
Benue,Guma,APC,12005
Benue,Gwer East,PDP,19596
Benue,Gwer East,APC,15291
Benue,Gwer West,PDP,14856
Benue,Gwer West,APC,7429
Benue,Katsina-Ala,APC,21614
Benue,Katsina-Ala,PDP,17980
Benue,Konshisha,PDP,21980
Benue,Konshisha,APC,13802
Benue,Kwande,PDP,29241
Benue,Kwande,APC,22786
Benue,Logo,PDP,30803
Benue,Logo,APC,4586
Benue,Makurdi,APC,36517
Benue,Makurdi,PDP,29414
Benue,Obi,APC,10247
Benue,Obi,PDP,9576
Benue,Ogbadibo,APC,9259
Benue,Ogbadibo,PDP,8985
Benue,Ohimini,APC,8675
Benue,Ohimini,PDP,7577
Benue,Oju,APC,19134
Benue,Oju,PDP,13330
Benue,Okpokwu,PDP,11957
Benue,Okpokwu,APC,9641
Benue,Otukpo,APC,21785
Benue,Otukpo,PDP,13153
Benue,Tarka,APC,16600
Benue,Tarka,PDP,3177
Benue,Ukum,PDP,23156
Benue,Ukum,APC,11790
Benue,Ushongo,PDP,22703
Benue,Ushongo,APC,14683
Benue,Vandeikya,PDP,27725
Benue,Vandeikya,APC,19079
Borno,Abadam,APC,9968
Borno,Abadam,PDP,50
Borno,Askira/Uba,APC,58719
Borno,Askira/Uba,PDP,9800
Borno,Bama,APC,54783
Borno,Bama,PDP,1036
Borno,Bayo,APC,33752
Borno,Bayo,PDP,1903
Borno,Biu,APC,46794
Borno,Biu,PDP,5597
Borno,Chibok,APC,19370
Borno,Chibok,PDP,1804
Borno,Damboa,APC,36617
Borno,Damboa,PDP,721
Borno,Dikwa,APC,22138
Borno,Dikwa,PDP,1542
Borno,Gubio,APC,33203
Borno,Gubio,PDP,419
Borno,Guzamala,APC,28030
Borno,Guzamala,PDP,277
Borno,Gwoza,APC,120213
Borno,Gwoza,PDP,3118
Borno,Hawul,APC,29845
Borno,Hawul,PDP,7039
Borno,Jere,APC,122384
Borno,Jere,PDP,3440
Borno,Kaga,APC,16647
Borno,Kaga,PDP,1166
Borno,Kala/Balge,APC,35780
Borno,Kala/Balge,PDP,497
Borno,Konduga,APC,31484
Borno,Konduga,PDP,2407
Borno,Kukawa,APC,29040
Borno,Kukawa,PDP,344
Borno,Kwaya Kusar,APC,19790
Borno,Kwaya Kusar,PDP,6860
Borno,Mafa,APC,53011
Borno,Mafa,PDP,163
Borno,Magumeri,APC,22261
Borno,Magumeri,PDP,123
Borno,Maiduguri,APC,168952
Borno,Maiduguri,PDP,5493
Borno,Marte,APC,19329
Borno,Marte,PDP,173
Borno,Mobbar,APC,35828
Borno,Mobbar,PDP,622
Borno,Monguno,APC,41999
Borno,Monguno,PDP,493
Borno,Ngala,APC,42301
Borno,Ngala,PDP,1910
Borno,Nganzai,APC,20196
Borno,Nganzai,PDP,907
Borno,Shani,APC,23006
Borno,Shani,PDP,8205
Ebonyi,Abakaliki,PDP,26809
Ebonyi,Abakaliki,APC,9815
Ebonyi,Afikpo North,PDP,21245
Ebonyi,Afikpo North,APC,7446
Ebonyi,Afikpo South,PDP,27720
Ebonyi,Afikpo South,APC,9275
Ebonyi,Ebonyi,PDP,25830
Ebonyi,Ebonyi,APC,5951
Ebonyi,Ezza North,PDP,14181
Ebonyi,Ezza North,APC,2482
Ebonyi,Ezza South,PDP,27583
Ebonyi,Ezza South,APC,3245
Ebonyi,Ikwo,PDP,37947
Ebonyi,Ikwo,APC,11475
Ebonyi,Ishielu,PDP,26700
Ebonyi,Ishielu,APC,3105
Ebonyi,Ivo,PDP,19166
Ebonyi,Ivo,APC,2055
Ebonyi,Izzi,PDP,34199
Ebonyi,Izzi,APC,13430
Ebonyi,Ohaozara,PDP,48256
Ebonyi,Ohaozara,APC,1004
Ebonyi,Ohaukwu,PDP,30606
Ebonyi,Ohaukwu,APC,9943
Ebonyi,Onicha,PDP,52851
Ebonyi,Onicha,APC,2497
Enugu,Agwu,PDP,23025
Enugu,Agwu,APC,1232
Enugu,Aninri,PDP,21450
Enugu,Aninri,APC,496
Enugu,Enugu East,PDP,22300
Enugu,Enugu East,APC,352
Enugu,Enugu North,PDP,15120
Enugu,Enugu North,APC,276
Enugu,Enugu South,PDP,17513
Enugu,Enugu South,APC,533
Enugu,Ezeagwu,PDP,21448
Enugu,Ezeagwu,APC,255
Enugu,Igbo Etiti,PDP,25557
Enugu,Igbo Etiti,APC,1223
Enugu,Igbo Eze North,PDP,30666
Enugu,Igbo Eze North,APC,1607
Enugu,Igbo Eze South,PDP,38326
Enugu,Igbo Eze South,APC,705
Enugu,Isi Uzo,PDP,19698
Enugu,Isi Uzo,APC,284
Enugu,Nkanu East,PDP,23118
Enugu,Nkanu East,APC,636
Enugu,Nkanu West,PDP,30698
Enugu,Nkanu West,APC,243
Enugu,Nsukka,PDP,51207
Enugu,Nsukka,APC,572
Enugu,Oji River,PDP,22369
Enugu,Oji River,APC,536
Enugu,Udenu,PDP,39347
Enugu,Udenu,APC,394
Enugu,Udi,PDP,25124
Enugu,Udi,APC,823
Enugu,Uzo Uwani,PDP,22879
Enugu,Uzo Uwani,APC,256
Gombe,Akko,APC,58479
Gombe,Akko,PDP,30832
Gombe,Balanga,APC,30926
Gombe,Balanga,PDP,18192
Gombe,Billiri,APC,18612
Gombe,Billiri,PDP,18063
Gombe,Dukku,APC,27302
Gombe,Dukku,PDP,16807
Gombe,Funakaye,APC,29191
Gombe,Funakaye,PDP,22259
Gombe,Gombe,APC,68384
Gombe,Gombe,PDP,21673
Gombe,Kaltungo,APC,26744
Gombe,Kaltungo,PDP,22259
Gombe,Kwami,APC,30539
Gombe,Kwami,PDP,18240
Gombe,Nafada,PDP,17937
Gombe,Nafada,APC,9018
Gombe,Shongom,APC,13463
Gombe,Shongom,PDP,12993
Gombe,Yamaltu/Deba,APC,51521
Gombe,Yamaltu/Deba,PDP,25852
Jigawa,Auyo,APC,27771
Jigawa,Auyo,PDP,7879
Jigawa,Babura,APC,43601
Jigawa,Babura,PDP,9131
Jigawa,Biriniwa,APC,24993
Jigawa,Biriniwa,PDP,12227
Jigawa,Birnin Kudu,APC,48401
Jigawa,Birnin Kudu,PDP,22777
Jigawa,Buji,APC,21406
Jigawa,Buji,PDP,9389
Jigawa,Dutse,APC,43165
Jigawa,Dutse,PDP,15108
Jigawa,Gagarawa,APC,15565
Jigawa,Gagarawa,PDP,8411
Jigawa,Garki,APC,33674
Jigawa,Garki,PDP,15147
Jigawa,Gumel,APC,15800
Jigawa,Gumel,PDP,5298
Jigawa,Guri,APC,41906
Jigawa,Guri,PDP,14820
Jigawa,Gwaram,APC,58210
Jigawa,Gwaram,PDP,12538
Jigawa,Gwiwa,APC,24235
Jigawa,Gwiwa,PDP,7746
Jigawa,Hadejia,APC,27240
Jigawa,Hadejia,PDP,4399
Jigawa,Jahun,APC,41937
Jigawa,Jahun,PDP,16119
Jigawa,Kafin Hausa,APC,38989
Jigawa,Kafin Hausa,PDP,10133
Jigawa,Kaugama,APC,26025
Jigawa,Kaugama,PDP,7384
Jigawa,Kazaure,APC,22074
Jigawa,Kazaure,PDP,3216
Jigawa,Kiri Kasama,APC,26338
Jigawa,Kiri Kasama,PDP,9333
Jigawa,Kiyawa,APC,36255
Jigawa,Kiyawa,PDP,12866
Jigawa,Maigatari,APC,26126
Jigawa,Maigatari,PDP,12494
Jigawa,Malam Madori,APC,27616
Jigawa,Malam Madori,PDP,7397
Jigawa,Miga,APC,22746
Jigawa,Miga,PDP,9269
Jigawa,Ringim,APC,41481
Jigawa,Ringim,PDP,28035
Jigawa,Roni,APC,19516
Jigawa,Roni,PDP,5013
Jigawa,Sule Tankarkar,APC,32154
Jigawa,Sule Tankarkar,PDP,12543
Jigawa,Taura,APC,32735
Jigawa,Taura,PDP,11417
Jigawa,Yankwashi,APC,11880
Jigawa,Yankwashi,PDP,5677
Katsina,Bakori,APC,44143
Katsina,Bakori,PDP,20237
Katsina,Batagarawa,APC,39420
Katsina,Batagarawa,PDP,12512
Katsina,Batsari,APC,33742
Katsina,Batsari,PDP,14142
Katsina,Baure,APC,41076
Katsina,Baure,PDP,18012
Katsina,Bindawa,APC,34659
Katsina,Bindawa,PDP,13183
Katsina,Charanchi,APC,24692
Katsina,Charanchi,PDP,9781
Katsina,Dan Musa,APC,28008
Katsina,Dan Musa,PDP,10306
Katsina,Dandume,APC,32560
Katsina,Dandume,PDP,13533
Katsina,Danja,APC,36467
Katsina,Danja,PDP,17845
Katsina,Daura,APC,31361
Katsina,Daura,PDP,8298
Katsina,Dutsi,APC,22482
Katsina,Dutsi,PDP,10564
Katsina,Dutsin-Ma,APC,32568
Katsina,Dutsin-Ma,PDP,16246
Katsina,Faskari,APC,45777
Katsina,Faskari,PDP,20329
Katsina,Funtua,APC,43883
Katsina,Funtua,PDP,16597
Katsina,Ingawa,APC,28905
