state,lga,party,votes
Katsina,Ingawa,PDP,12602
Katsina,Jibia,APC,30538
Katsina,Jibia,PDP,12616
Katsina,Kafur,APC,58148
Katsina,Kafur,PDP,22792
Katsina,Kaita,APC,27076
Katsina,Kaita,PDP,11479
Katsina,Kankara,APC,43341
Katsina,Kankara,PDP,23856
Katsina,Kankia,APC,29096
Katsina,Kankia,PDP,14706
Katsina,Katsina,APC,64709
Katsina,Katsina,PDP,16734
Katsina,Kurfi,APC,24994
Katsina,Kurfi,PDP,12815
Katsina,Kusada,APC,20799
Katsina,Kusada,PDP,8080
Katsina,Mai'Adua,APC,34154
Katsina,Mai'Adua,PDP,12904
Katsina,Malumfashi,APC,56008
Katsina,Malumfashi,PDP,21132
Katsina,Mani,APC,34254
Katsina,Mani,PDP,16476
Katsina,Mashi,APC,34695
Katsina,Mashi,PDP,19255
Katsina,Matazu,APC,28253
Katsina,Matazu,PDP,10327
Katsina,Musawa,APC,32276
Katsina,Musawa,PDP,10151
Katsina,Rimi,APC,36276
Katsina,Rimi,PDP,12496
Katsina,Sabuwa,APC,22359
Katsina,Sabuwa,PDP,14384
Katsina,Safana,APC,26807
Katsina,Safana,PDP,10657
Katsina,Sandamu,APC,32193
Katsina,Sandamu,PDP,11912
Katsina,Zango,APC,23193
Katsina,Zango,PDP,11662
Kebbi,Aleiro,APC,21923
Kebbi,Aleiro,PDP,3479
Kebbi,Arewa,APC,35991
Kebbi,Arewa,PDP,10994
Kebbi,Argungu,APC,30101
Kebbi,Argungu,PDP,23397
Kebbi,Augie,APC,28479
Kebbi,Augie,PDP,11875
Kebbi,Bagudo,APC,41556
Kebbi,Bagudo,PDP,2581
Kebbi,Birnin Kebbi,APC,79092
Kebbi,Birnin Kebbi,PDP,6010
Kebbi,Bunza,APC,23980
Kebbi,Bunza,PDP,2114
Kebbi,Dandi,APC,66630
Kebbi,Dandi,PDP,11858
Kebbi,Fakai,APC,14722
Kebbi,Fakai,PDP,3729
Kebbi,Gwandu,APC,30720
Kebbi,Gwandu,PDP,4526
Kebbi,Jega,APC,53807
Kebbi,Jega,PDP,1774
Kebbi,Kalgo,APC,21899
Kebbi,Kalgo,PDP,805
Kebbi,Koko/Besse,APC,31392
Kebbi,Koko/Besse,PDP,1216
Kebbi,Maiyama,APC,40217
Kebbi,Maiyama,PDP,1477
Kebbi,Ngaski,APC,20917
Kebbi,Ngaski,PDP,5516
Kebbi,Sakaba,APC,19182
Kebbi,Sakaba,PDP,1746
Kebbi,Shanga,APC,27012
Kebbi,Shanga,PDP,3506
Kebbi,Suru,APC,39359
Kebbi,Suru,PDP,5198
Kebbi,Wasagu/Danko,APC,29625
Kebbi,Wasagu/Danko,PDP,4609
Kebbi,Yauri,APC,25011
Kebbi,Yauri,PDP,1574
Kebbi,Zuru,APC,25507
Kebbi,Zuru,PDP,4578
Kogi,Adavi,APC,64657
Kogi,Adavi,PDP,366
Kogi,Ajaokuta,APC,17952
Kogi,Ajaokuta,PDP,5565
Kogi,Ankpa,PDP,28108
Kogi,Ankpa,APC,11269
Kogi,Bassa,PDP,9724
Kogi,Bassa,APC,8386
Kogi,Dekina,PDP,16575
Kogi,Dekina,APC,8948
Kogi,Idah,PDP,13962
Kogi,Idah,APC,4602
Kogi,Igalamela-Odolu,PDP,11195
Kogi,Igalamela-Odolu,APC,8075
Kogi,Ijumu,APC,11425
Kogi,Ijumu,PDP,7585
Kogi,Kabba/Bunu,APC,15364
Kogi,Kabba/Bunu,PDP,8084
Kogi,Koton Karfe,APC,14097
Kogi,Koton Karfe,PDP,9404
Kogi,Lokoja,APC,19457
Kogi,Lokoja,PDP,11045
Kogi,Mopa-Muro,APC,4953
Kogi,Mopa-Muro,PDP,3581
Kogi,Ofu,PDP,12264
Kogi,Ofu,APC,11006
Kogi,Ogori-Magongo,APC,3679
Kogi,Ogori-Magongo,PDP,2145
Kogi,Okehi,APC,36954
Kogi,Okehi,PDP,478
Kogi,Okene,APC,112762
Kogi,Okene,PDP,139
Kogi,Olamaboro,APC,16876
Kogi,Olamaboro,PDP,8155
Kogi,Omala,PDP,14403
Kogi,Omala,APC,8473
Kogi,Yagba East,PDP,7546
Kogi,Yagba East,APC,6735
Kogi,Yagba West,PDP,8860
Kogi,Yagba West,APC,7868
Nasarawa,Akwanga,APC,21968
Nasarawa,Akwanga,PDP,18402
Nasarawa,Awe,APC,29443
Nasarawa,Awe,PDP,9228
Nasarawa,Doma,PDP,10318
Nasarawa,Doma,APC,10029
Nasarawa,Eggon,PDP,14290
Nasarawa,Eggon,APC,11611
Nasarawa,Karu,APC,23207
Nasarawa,Karu,PDP,21967
Nasarawa,Keana,APC,11759
Nasarawa,Keana,PDP,6579
Nasarawa,Keffi,APC,25589
Nasarawa,Keffi,PDP,12419
Nasarawa,Kokona,APC,23027
Nasarawa,Kokona,PDP,18971
Nasarawa,Lafia,APC,70451
Nasarawa,Lafia,PDP,18827
Nasarawa,Nasarawa,APC,31586
Nasarawa,Nasarawa,PDP,17406
Nasarawa,Obi,APC,20640
Nasarawa,Obi,PDP,17951
Nasarawa,Toto,APC,32213
Nasarawa,Toto,PDP,8590
Nasarawa,Wamba,APC,15706
Nasarawa,Wamba,PDP,9332
Niger,Agaie,APC,19295
Niger,Agaie,PDP,16903
Niger,Agwara,APC,11236
Niger,Agwara,PDP,5365
Niger,Bida,APC,21493
Niger,Bida,PDP,11212
Niger,Borgu,APC,25211
Niger,Borgu,PDP,7206
Niger,Bosso,APC,19610
Niger,Bosso,PDP,11470
Niger,Chanchaga,APC,27764
Niger,Chanchaga,PDP,21179
Niger,Edati,APC,19200
Niger,Edati,PDP,10200
Niger,Gbako,APC,24836
Niger,Gbako,PDP,10623
Niger,Gurara,APC,14649
Niger,Gurara,PDP,7798
Niger,Katcha,APC,20171
Niger,Katcha,PDP,9800
Niger,Kontagora,APC,27117
Niger,Kontagora,PDP,11888
Niger,Lapai,APC,24724
Niger,Lapai,PDP,10599
Niger,Lavun,APC,27345
Niger,Lavun,PDP,15335
Niger,Magama,APC,20540
Niger,Magama,PDP,17633
Niger,Mariga,APC,17890
Niger,Mariga,PDP,13433
Niger,Mashegu,APC,18102
Niger,Mashegu,PDP,10988
Niger,Mokwa,APC,26679
Niger,Mokwa,PDP,13155
Niger,Munya,APC,14879
Niger,Munya,PDP,8458
Niger,Paikoro,APC,21571
Niger,Paikoro,PDP,13600
Niger,Rafi,APC,28289
Niger,Rafi,PDP,13372
Niger,Rijau,APC,22111
Niger,Rijau,PDP,9566
Niger,Shiroro,APC,28285
Niger,Shiroro,PDP,16438
Niger,Suleja,APC,19105
Niger,Suleja,PDP,14975
Niger,Tafa,APC,13111
Niger,Tafa,PDP,8608
Niger,Wushishi,APC,13199
Niger,Wushishi,PDP,8309
Oyo,Afijio,PDP,10515
Oyo,Afijio,APC,7591
Oyo,Akinyele,PDP,23423
Oyo,Akinyele,APC,12023
Oyo,Atiba,PDP,14636
Oyo,Atiba,APC,9690
Oyo,Atisbo,PDP,10026
Oyo,Atisbo,APC,9678
Oyo,Egbeda,PDP,24203
Oyo,Egbeda,APC,13581
Oyo,Ibadan North,PDP,40785
Oyo,Ibadan North,APC,18866
Oyo,Ibadan North-East,PDP,30824
Oyo,Ibadan North-East,APC,12553
Oyo,Ibadan North-West,PDP,20715
Oyo,Ibadan North-West,APC,9690
Oyo,Ibadan South-East,PDP,24556
Oyo,Ibadan South-East,APC,13277
Oyo,Ibadan South-West,PDP,34445
Oyo,Ibadan South-West,APC,18183
Oyo,Ibarapa Central,PDP,10964
Oyo,Ibarapa Central,APC,7888
Oyo,Ibarapa East,PDP,13002
Oyo,Ibarapa East,APC,8646
Oyo,Ibarapa North,PDP,11580
Oyo,Ibarapa North,APC,8644
Oyo,Ido,PDP,16726
Oyo,Ido,APC,8585
Oyo,Irepo,APC,7862
Oyo,Irepo,PDP,7633
Oyo,Iseyin,PDP,21080
Oyo,Iseyin,APC,15435
Oyo,Itesiwaju,PDP,8612
Oyo,Itesiwaju,APC,6825
Oyo,Iwajowa,PDP,9358
Oyo,Iwajowa,APC,8459
Oyo,Kajola,PDP,13600
Oyo,Kajola,APC,12982
Oyo,Lagelu,PDP,16217
Oyo,Lagelu,APC,11923
Oyo,Ogbomosho North,APC,14442
Oyo,Ogbomosho North,PDP,13035
Oyo,Ogbomosho South,PDP,11236
Oyo,Ogbomosho South,APC,10984
Oyo,Ogo Oluwa,APC,9547
Oyo,Ogo Oluwa,PDP,6152
Oyo,Olorunsogo,PDP,7554
Oyo,Olorunsogo,APC,5277
Oyo,Oluyole,PDP,18070
Oyo,Oluyole,APC,9477
Oyo,Ona Ara,PDP,14430
Oyo,Ona Ara,APC,7848
Oyo,Orelope,PDP,10460
Oyo,Orelope,APC,7546
Oyo,Ori Ire,APC,15810
Oyo,Ori Ire,PDP,9856
Oyo,Oyo East,PDP,12580
Oyo,Oyo East,APC,8721
Oyo,Oyo West,PDP,12132
Oyo,Oyo West,APC,9756
Oyo,Saki East,PDP,8527
Oyo,Saki East,APC,6345
Oyo,Saki West,PDP,21184
Oyo,Saki West,APC,15147
Oyo,Surulere,APC,14168
Oyo,Surulere,PDP,7505
Plateau,Barkin Ladi,PDP,44529
Plateau,Barkin Ladi,APC,17080
Plateau,Bassa,PDP,33192
Plateau,Bassa,APC,30441
Plateau,Bokkos,APC,27561
Plateau,Bokkos,PDP,26700
Plateau,Jos East,APC,18602
Plateau,Jos East,PDP,7994
Plateau,Jos North,APC,109161
Plateau,Jos North,PDP,14290
Plateau,Jos South,PDP,91846
Plateau,Jos South,APC,33475
Plateau,Kanam,APC,55338
Plateau,Kanam,PDP,22432
Plateau,Kanke,APC,23360
Plateau,Kanke,PDP,22831
Plateau,Langtang North,PDP,40519
Plateau,Langtang North,APC,18979
Plateau,Langtang South,PDP,18868
Plateau,Langtang South,APC,14470
Plateau,Mangu,APC,51895
Plateau,Mangu,PDP,43555
Plateau,Mikang,APC,15150
Plateau,Mikang,PDP,11703
Plateau,Pankshin,APC,36215
Plateau,Pankshin,PDP,24939
Plateau,Qua'an Pan,APC,31962
Plateau,Qua'an Pan,PDP,20939
Plateau,Riyom,PDP,24017
Plateau,Riyom,APC,12720
Plateau,Shendam,APC,61798
Plateau,Shendam,PDP,17115
Plateau,Wase,APC,37593
Plateau,Wase,PDP,27485
Sokoto,Binji,PDP,13406
Sokoto,Binji,APC,11216
Sokoto,Bodinga,PDP,21725
Sokoto,Bodinga,APC,21078
Sokoto,Dange Shuni,APC,23990
Sokoto,Dange Shuni,PDP,23409
Sokoto,Gada,APC,30981
Sokoto,Gada,PDP,24598
Sokoto,Goronyo,APC,20867
Sokoto,Goronyo,PDP,19915
Sokoto,Gudu,PDP,15077
Sokoto,Gudu,APC,12233
Sokoto,Gwadabawa,APC,24928
Sokoto,Gwadabawa,PDP,21866
Sokoto,Illela,APC,26540
Sokoto,Illela,PDP,20977
Sokoto,Isa,PDP,24009
Sokoto,Isa,APC,16830
Sokoto,Kebbe,APC,11820
Sokoto,Kebbe,PDP,9751
Sokoto,Kware,PDP,20197
Sokoto,Kware,APC,19212
Sokoto,Rabah,APC,17946
Sokoto,Rabah,PDP,14551
Sokoto,Sabon Birni,PDP,34282
Sokoto,Sabon Birni,APC,32257
Sokoto,Shagari,APC,19656
Sokoto,Shagari,PDP,18222
Sokoto,Silame,PDP,16757
Sokoto,Silame,APC,12845
Sokoto,Sokoto North,PDP,36813
Sokoto,Sokoto North,APC,33442
Sokoto,Sokoto South,PDP,40337
Sokoto,Sokoto South,APC,36092
Sokoto,Tambuwal,PDP,44474
Sokoto,Tambuwal,APC,30473
Sokoto,Tangaza,PDP,17661
Sokoto,Tangaza,APC,16374
Sokoto,Tureta,PDP,13255
Sokoto,Tureta,APC,11510
Sokoto,Wamako,APC,35251
Sokoto,Wamako,PDP,26392
Sokoto,Wurno,APC,20391
Sokoto,Wurno,PDP,14201
Sokoto,Yabo,APC,16122
Sokoto,Yabo,PDP,13405
Yobe,Bade,APC,32213
Yobe,Bade,PDP,8854
Yobe,Bursari,APC,20657
Yobe,Bursari,PDP,2813
Yobe,Damaturu,APC,26087
Yobe,Damaturu,PDP,3760
Yobe,Fika,APC,36519
Yobe,Fika,PDP,9552
Yobe,Fune,APC,36040
Yobe,Fune,PDP,14327
Yobe,Geidam,APC,18724
Yobe,Geidam,PDP,2760
Yobe,Gujba,APC,17714
Yobe,Gujba,PDP,1119
Yobe,Gulani,APC,21765
Yobe,Gulani,PDP,4576
Yobe,Jakusko,APC,30828
Yobe,Jakusko,PDP,5887
Yobe,Karasuwa,APC,24262
Yobe,Karasuwa,PDP,2762
Yobe,Machina,APC,16950
Yobe,Machina,PDP,2164
Yobe,Nangere,APC,25698
Yobe,Nangere,PDP,4765
Yobe,Nguru,APC,28366
Yobe,Nguru,PDP,19468
Yobe,Potiskum,APC,54773
Yobe,Potiskum,PDP,5114
Yobe,Tarmuwa,APC,11338
Yobe,Tarmuwa,PDP,3925
Yobe,Yunusari,APC,28858
Yobe,Yunusari,PDP,893
Yobe,Yusufari,APC,22221
Yobe,Yusufari,PDP,2964
